layout,aptamer_count,linker_constructs,ev_diameter_nm,cd133_density,receptor_count,mean_contacts,max_contacts,p_at_least_3_contacts,p_at_least_6_contacts,capture_score
dense_24,24,polyT20,50,low,6,0.416,4,0.0030,0.0000,0.0118
dense_24,24,polyT20,50,medium,16,0.975,7,0.0595,0.0001,0.0512
dense_24,24,polyT20,50,high,31,1.735,9,0.2385,0.0014,0.1512
dense_24,24,polyT20,100,low,24,0.703,7,0.0311,0.0000,0.0316
dense_24,24,polyT20,100,medium,63,1.742,10,0.2537,0.0035,0.1589
dense_24,24,polyT20,100,high,126,3.198,17,0.6305,0.0968,0.3976
dense_24,24,polyT20,150,low,53,0.945,8,0.0669,0.0004,0.0539
dense_24,24,polyT20,150,medium,141,2.381,13,0.4214,0.0328,0.2606
dense_24,24,polyT20,150,high,283,4.334,21,0.8121,0.2681,0.5676
grid_18,18,polyT20,50,low,6,0.227,3,0.0002,0.0000,0.0058
grid_18,18,polyT20,50,medium,16,0.558,5,0.0062,0.0000,0.0167
grid_18,18,polyT20,50,high,31,0.984,5,0.0344,0.0000,0.0401
grid_18,18,polyT20,100,low,24,0.412,5,0.0048,0.0000,0.0124
grid_18,18,polyT20,100,medium,63,1.042,6,0.0676,0.0000,0.0565
grid_18,18,polyT20,100,high,126,1.853,8,0.2628,0.0016,0.1651
grid_18,18,polyT20,150,low,53,0.579,6,0.0148,0.0000,0.0211
grid_18,18,polyT20,150,medium,141,1.448,10,0.1612,0.0008,0.1090
grid_18,18,polyT20,150,high,283,2.584,11,0.5010,0.0213,0.2975
ring_12,12,polyT20,50,low,6,0.158,2,0.0000,0.0000,0.0040
ring_12,12,polyT20,50,medium,16,0.441,3,0.0018,0.0000,0.0118
ring_12,12,polyT20,50,high,31,0.745,4,0.0115,0.0000,0.0238
ring_12,12,polyT20,100,low,24,0.299,4,0.0017,0.0000,0.0082
ring_12,12,polyT20,100,medium,63,0.758,5,0.0220,0.0000,0.0288
ring_12,12,polyT20,100,high,126,1.320,6,0.0997,0.0000,0.0779
ring_12,12,polyT20,150,low,53,0.424,5,0.0043,0.0000,0.0125
ring_12,12,polyT20,150,medium,141,1.005,7,0.0557,0.0000,0.0502
ring_12,12,polyT20,150,high,283,1.824,9,0.2528,0.0004,0.1595
sparse_6,6,polyT20,50,low,6,0.094,2,0.0000,0.0000,0.0023
sparse_6,6,polyT20,50,medium,16,0.226,2,0.0000,0.0000,0.0057
sparse_6,6,polyT20,50,high,31,0.402,2,0.0000,0.0000,0.0100
sparse_6,6,polyT20,100,low,24,0.143,3,0.0001,0.0000,0.0036
sparse_6,6,polyT20,100,medium,63,0.394,3,0.0004,0.0000,0.0100
sparse_6,6,polyT20,100,high,126,0.696,4,0.0022,0.0000,0.0184
sparse_6,6,polyT20,150,low,53,0.222,3,0.0002,0.0000,0.0056
sparse_6,6,polyT20,150,medium,141,0.520,5,0.0038,0.0000,0.0147
sparse_6,6,polyT20,150,high,283,0.957,6,0.0251,0.0000,0.0352
