layout,anchor_id,x_nm,y_nm,z_nm,linker_reach_nm,linker_construct,receptor
sparse_6,A01,24.000,0.000,0.000,15.000,polyT20,CD133 aptamer
sparse_6,A02,12.000,20.785,0.000,15.000,polyT20,CD133 aptamer
sparse_6,A03,-12.000,20.785,0.000,15.000,polyT20,CD133 aptamer
sparse_6,A04,-24.000,0.000,0.000,15.000,polyT20,CD133 aptamer
sparse_6,A05,-12.000,-20.785,0.000,15.000,polyT20,CD133 aptamer
sparse_6,A06,12.000,-20.785,0.000,15.000,polyT20,CD133 aptamer
ring_12,A01,25.000,0.000,0.000,15.000,polyT20,CD133 aptamer
ring_12,A02,21.651,12.500,0.000,15.000,polyT20,CD133 aptamer
ring_12,A03,12.500,21.651,0.000,15.000,polyT20,CD133 aptamer
ring_12,A04,0.000,25.000,0.000,15.000,polyT20,CD133 aptamer
ring_12,A05,-12.500,21.651,0.000,15.000,polyT20,CD133 aptamer
ring_12,A06,-21.651,12.500,0.000,15.000,polyT20,CD133 aptamer
ring_12,A07,-25.000,0.000,0.000,15.000,polyT20,CD133 aptamer
ring_12,A08,-21.651,-12.500,0.000,15.000,polyT20,CD133 aptamer
ring_12,A09,-12.500,-21.651,0.000,15.000,polyT20,CD133 aptamer
ring_12,A10,-0.000,-25.000,0.000,15.000,polyT20,CD133 aptamer
ring_12,A11,12.500,-21.651,0.000,15.000,polyT20,CD133 aptamer
ring_12,A12,21.651,-12.500,0.000,15.000,polyT20,CD133 aptamer
grid_18,A01,-35.000,-18.000,0.000,15.000,polyT20,CD133 aptamer
grid_18,A02,-21.000,-18.000,0.000,15.000,polyT20,CD133 aptamer
grid_18,A03,-7.000,-18.000,0.000,15.000,polyT20,CD133 aptamer
grid_18,A04,7.000,-18.000,0.000,15.000,polyT20,CD133 aptamer
grid_18,A05,21.000,-18.000,0.000,15.000,polyT20,CD133 aptamer
grid_18,A06,35.000,-18.000,0.000,15.000,polyT20,CD133 aptamer
grid_18,A07,-35.000,0.000,0.000,15.000,polyT20,CD133 aptamer
grid_18,A08,-21.000,0.000,0.000,15.000,polyT20,CD133 aptamer
grid_18,A09,-7.000,0.000,0.000,15.000,polyT20,CD133 aptamer
grid_18,A10,7.000,0.000,0.000,15.000,polyT20,CD133 aptamer
grid_18,A11,21.000,0.000,0.000,15.000,polyT20,CD133 aptamer
grid_18,A12,35.000,0.000,0.000,15.000,polyT20,CD133 aptamer
grid_18,A13,-35.000,18.000,0.000,15.000,polyT20,CD133 aptamer
grid_18,A14,-21.000,18.000,0.000,15.000,polyT20,CD133 aptamer
grid_18,A15,-7.000,18.000,0.000,15.000,polyT20,CD133 aptamer
grid_18,A16,7.000,18.000,0.000,15.000,polyT20,CD133 aptamer
grid_18,A17,21.000,18.000,0.000,15.000,polyT20,CD133 aptamer
grid_18,A18,35.000,18.000,0.000,15.000,polyT20,CD133 aptamer
dense_24,A01,14.000,0.000,0.000,15.000,polyT20,CD133 aptamer
dense_24,A02,9.899,7.425,0.000,15.000,polyT20,CD133 aptamer
dense_24,A03,0.000,10.500,0.000,15.000,polyT20,CD133 aptamer
dense_24,A04,-9.899,7.425,0.000,15.000,polyT20,CD133 aptamer
dense_24,A05,-14.000,0.000,0.000,15.000,polyT20,CD133 aptamer
dense_24,A06,-9.899,-7.425,0.000,15.000,polyT20,CD133 aptamer
dense_24,A07,-0.000,-10.500,0.000,15.000,polyT20,CD133 aptamer
dense_24,A08,9.899,-7.425,0.000,15.000,polyT20,CD133 aptamer
dense_24,A09,26.481,3.951,0.000,15.000,polyT20,CD133 aptamer
dense_24,A10,22.450,11.250,0.000,15.000,polyT20,CD133 aptamer
dense_24,A11,15.000,16.837,0.000,15.000,polyT20,CD133 aptamer
dense_24,A12,5.267,19.861,0.000,15.000,polyT20,CD133 aptamer
dense_24,A13,-5.267,19.861,0.000,15.000,polyT20,CD133 aptamer
dense_24,A14,-15.000,16.837,0.000,15.000,polyT20,CD133 aptamer
dense_24,A15,-22.450,11.250,0.000,15.000,polyT20,CD133 aptamer
dense_24,A16,-26.481,3.951,0.000,15.000,polyT20,CD133 aptamer
dense_24,A17,-26.481,-3.951,0.000,15.000,polyT20,CD133 aptamer
dense_24,A18,-22.450,-11.250,0.000,15.000,polyT20,CD133 aptamer
dense_24,A19,-15.000,-16.837,0.000,15.000,polyT20,CD133 aptamer
dense_24,A20,-5.267,-19.861,0.000,15.000,polyT20,CD133 aptamer
dense_24,A21,5.267,-19.861,0.000,15.000,polyT20,CD133 aptamer
dense_24,A22,15.000,-16.837,0.000,15.000,polyT20,CD133 aptamer
dense_24,A23,22.450,-11.250,0.000,15.000,polyT20,CD133 aptamer
dense_24,A24,26.481,-3.951,0.000,15.000,polyT20,CD133 aptamer
